Subdistrict,Fishery,Sample week,HARVDATE,RED,KING,COHO
Glennallen Subdistrict,STATE SUB,,6/10/2020,6,4,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,139,26,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,30,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,3,1,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,12,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,5,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,11,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,10,5,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,11,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,69,5,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,3,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,1,0,0
